Date,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK
2015-01-01,,,,,,,,,
2015-01-02,0.0008177770178616761,5.173194762875255e-05,1.0073011345035354e-05,-0.0007616465162061381,-7.796339714127853e-05,-0.001643498966142909,-0.00041308772425330265,-0.0011687245162889104,-0.0010277632342470255
2015-01-05,-0.013473221155734794,-0.015178487943364294,-0.011632565161541875,-0.011826943888551211,-0.01892270975376731,-0.0046830244797048115,-0.01944595597049481,-0.016174747614759455,-0.018170076233323895
2015-01-06,0.003968979281842477,0.0030620068814293244,-0.00039748279065376924,-0.0006208717070699254,-0.0017394441640217195,0.008448775636322736,-0.003950843634729195,0.004465971315521289,0.003767429434923031
2015-01-07,-0.002424058766702264,-0.006758483100267276,-0.0050430257966175285,-0.005332010274012311,-0.007886881544584723,0.006336795672200024,-0.014188357349753544,0.0061982577037573705,-0.0009110055133856321
2015-01-08,-0.0005652742782646936,0.0015653501143222392,-0.003390053118703329,-0.003314069355740079,-0.002009267119522873,-0.005163970997176581,0.005998019677841082,0.0029527160009727993,-0.005609954516194504
2015-01-09,0.004787436152018154,-0.0007525039958505841,-0.0034862882806860895,-0.003373735503850117,-0.0012975468993686734,-0.004198931087385671,0.010183860678122159,0.005469312465012921,-0.007200145695808291
2015-01-12,0.013320134622734514,-0.0014268720763942477,0.00639450144743714,0.006327069728334633,0.006728925649740702,0.013365833062430665,-0.003182748645258915,0.004315687287943293,0.0019332731521419788
2015-01-13,-0.008721194909612207,-0.010335887713773362,-0.003034792105523154,-0.0033009073829860514,-0.0012591561346543267,-0.0009803676304540598,-0.012347875620158488,-0.010405326447899377,-0.00777711875996967
2015-01-14,0.002860877238668902,0.0011293197227288942,-0.004512062763836533,-0.004499345994830373,0.0,0.004524850537183767,0.00041750995068423613,-0.0027105088713285097,0.0018983320875396448
2015-01-15,-0.0035836692894162248,0.0006277271606993651,0.0005594681145293379,0.0006482569125645377,0.004219923536576076,0.0034500279530083056,0.015311178805074377,-0.003933884933615572,-0.0033512510142085228
2015-01-16,0.00970401083746264,-0.0009198395748739596,0.19256786429171768,-0.012603336567629575,-0.003491679072578968,0.010849928235862727,0.0026817508984715577,0.016465311412863004,-0.0026023202100672327
2015-01-19,0.00041131972168262365,-0.0010275444247648258,-0.00442791244770957,-0.006130007751373401,-0.0025741067678332064,-0.012164004209537116,0.006132558360344653,-0.005923536427494991,0.0019896845662850104
2015-01-20,-0.0038517748085741266,0.0012797423683370557,-0.024406890875943943,0.0027603766901020954,-0.003440527496114454,-0.0012912908611506513,-0.011053208259844571,-0.004577582836821192,-0.005811566420915071
2015-01-21,-0.0036743713236558895,-0.01305199530961132,0.006119102262613918,-0.0043993877736240306,0.0038019752860152245,-0.007897277456755392,-0.005841837162203212,-0.014376385768643418,-0.0042552466616132545
