Date,FX Return,Carry Return,Total Return
2015-04-01,-0.0007164370087559989,7.366988136894978e-05,-0.0007509863054692409
2015-04-02,-0.0007241242584673337,7.366988136894978e-05,-0.0006586735551805757
2015-04-03,-0.003207935808209867,7.366988136894978e-05,-0.003142485104923109
2015-04-06,0.0002810014019075987,7.366988136894978e-05,0.00034645210519435667
2015-04-07,-0.0017849120976300668,7.366988136894978e-05,-0.001719461394343309
2015-04-08,0.006227790981510536,7.366988136894978e-05,0.006293241684797293
2015-04-09,0.005774617672658267,7.366988136894978e-05,0.0058400683759450255
2015-04-10,0.010939435928128032,7.366988136894978e-05,0.01100488663141479
2015-04-13,0.0006332167597293322,7.366988136894978e-05,0.0006986674630160902
2015-04-14,-0.005324065654634367,7.366988136894978e-05,-0.005258614951347608
2015-04-15,0.003077546009965501,7.366988136894978e-05,0.0031429967132522592
2015-04-16,0.0067514205941821654,7.366988136894978e-05,0.006816871297468923
2015-04-17,-7.170068613139916e-05,7.366988136894978e-05,-6.24998284464116e-06
2015-04-20,-0.0019119172650476001,7.366988136894978e-05,-0.0018464665617608422
2015-04-21,-0.0019886406172532336,7.366988136894978e-05,-0.0019231899139664757
2015-04-22,-0.0013343998772600999,7.366988136894978e-05,-0.001268949173973342
2015-04-23,0.007694972013548233,7.366988136894978e-05,0.007760422716834992
2015-04-24,-0.0104721410923711,7.366988136894978e-05,-0.01040669038908434
2015-04-27,0.0038656624573146013,7.366988136894978e-05,0.0039311131606013594
2015-04-28,0.0036586457803543,7.366988136894978e-05,0.0037240964836410583
2015-04-29,0.006925966876305,7.366988136894978e-05,0.006991417579591758
2015-04-30,-0.016319910507065567,7.366988136894978e-05,-0.01625445980377881
2015-05-01,-0.010395619135670331,7.366988136894978e-05,-0.010330168432383572
2015-05-04,-0.005476916593425801,7.366988136894978e-05,-0.005411465890139043
2015-05-05,0.0017236402457214669,7.366988136894978e-05,0.0017890909490082248
2015-05-06,-0.0018877238156314998,7.366988136894978e-05,-0.001822273112344742
2015-05-07,-0.006155988548289733,7.366988136894978e-05,-0.006090537845002976
2015-05-08,0.0006074157917216666,7.366988136894978e-05,0.0006728664950084246
2015-05-11,0.0030468533388795004,7.366988136894978e-05,0.0031123040421662585
2015-05-12,-0.0032436325777451995,7.366988136894978e-05,-0.0031781818744584414
2015-05-13,0.007218186463688268,7.366988136894978e-05,0.007283637166975027
2015-05-14,0.0030240246954226,7.366988136894978e-05,0.003089475398709358
2015-05-15,-0.0053574206437502,7.366988136894978e-05,-0.005291969940463442
2015-05-18,-0.0026205778572860666,7.366988136894978e-05,-0.0025551271539993085
2015-05-19,-0.0010359171993214993,7.366988136894978e-05,-0.0009704664960347413
2015-05-20,0.004215782223977067,7.366988136894978e-05,0.004281232927263826
2015-05-21,-0.005144544779022266,7.366988136894978e-05,-0.005079094075735507
2015-05-22,0.003535419288566067,7.366988136894978e-05,0.003600869991852825
2015-05-25,-0.0019134309934419995,7.366988136894978e-05,-0.0018479802901552416
2015-05-26,0.0033761627741563,7.366988136894978e-05,0.0034416134774430582
2015-05-27,-0.003949485232640298,7.366988136894978e-05,-0.0038840345293535395
2015-05-28,-0.0012659273651170668,7.366988136894978e-05,-0.0012004766618303089
2015-05-29,-0.013049452624617,7.366988136894978e-05,-0.012984001921330241
2015-06-01,-0.0008982908278431334,7.366988136894978e-05,-0.0008328401245563754
2015-06-02,-0.004383470466287733,7.366988136894978e-05,-0.004318019763000974
2015-06-03,-0.002256818581191769,7.366988136894978e-05,-0.002191367877905011
2015-06-04,-0.005366141802946832,7.366988136894978e-05,-0.005300691099660073
2015-06-05,-0.0044504533424283045,7.366988136894978e-05,-0.004385002639141546
2015-06-08,-0.005636017556130033,7.366988136894978e-05,-0.005570566852843274
2015-06-09,-0.0005769495607801343,7.366988136894978e-05,-0.0005114988574933763
2015-06-10,0.0027731380120864335,7.366988136894978e-05,0.0028385887153731916
2015-06-11,-0.0032848155480716995,7.366988136894978e-05,-0.0032193648447849414
2015-06-12,-0.0035154858757908665,7.366988136894978e-05,-0.0034500351725041084
2015-06-15,0.0003972711846476995,7.366988136894978e-05,0.0004627218879344575
2015-06-16,-0.0014313384161392852,7.366988136894978e-05,-0.0013658877128525273
2015-06-17,0.0008689370131354671,7.366988136894978e-05,0.0009343877164222251
2015-06-18,-0.0112744371255654,7.366988136894978e-05,-0.011208986422278642
2015-06-19,-0.0003064244308694018,7.366988136894978e-05,-0.0002409737275826438
2015-06-22,-0.0011931292799408,7.366988136894978e-05,-0.001127678576654042
2015-06-23,-0.0006722911805615997,7.366988136894978e-05,-0.0006068404772748417
2015-06-24,0.010880628599531768,7.366988136894978e-05,0.010946079302818526
2015-06-25,-0.0026032541473040667,7.366988136894978e-05,-0.0025378034440173085
2015-06-26,0.0037471903391284997,7.366988136894978e-05,0.003812641042415258
2015-06-29,0.0017855767314410697,7.366988136894978e-05,0.0018510274347278276
2015-06-30,-0.0147303262754318,7.366988136894978e-05,-0.014664875572145042
2015-07-01,0.007549430809271798,7.454486073059361e-05,0.0075157564919202
2015-07-02,0.0024370296854257026,7.454486073059361e-05,0.0025033553680741047
2015-07-03,-0.0017327494453744999,7.454486073059361e-05,-0.0016664237627260982
2015-07-06,-0.007577371945831366,7.454486073059361e-05,-0.007511046263182964
2015-07-07,-0.0053334165712025,7.454486073059361e-05,-0.005267090888554098
2015-07-08,-0.0008264282630375333,7.454486073059361e-05,-0.0007601025803891314
2015-07-09,-0.005450781994430534,7.454486073059361e-05,-0.0053844563117821315
2015-07-10,0.008591309880456865,7.454486073059361e-05,0.008657635563105268
2015-07-13,-0.003944433057780367,7.454486073059361e-05,-0.003878107375131965
2015-07-14,0.003458310522542034,7.454486073059361e-05,0.003524636205190436
2015-07-15,-0.00010691508336979974,7.454486073059361e-05,-4.058940072139792e-05
2015-07-16,-0.006583851707412,7.454486073059361e-05,-0.0065175260247635975
2015-07-17,0.004217391672614334,7.454486073059361e-05,0.004283717355262736
2015-07-20,0.004828732889485267,7.454486073059361e-05,0.004895058572133669
2015-07-21,0.0004307994198359665,7.454486073059361e-05,0.0004971251024843684
2015-07-22,0.0011754470008289997,7.454486073059361e-05,0.0012417726834774013
2015-07-23,-0.0009562698637850323,7.454486073059361e-05,-0.0008899441811366304
2015-07-24,-0.005265981205867368,7.454486073059361e-05,-0.005199655523218966
2015-07-27,-0.004534136339947534,7.454486073059361e-05,-0.004467810657299132
2015-07-28,-0.0031297802459224673,7.454486073059361e-05,-0.003063454563274065
2015-07-29,0.010650315268965867,7.454486073059361e-05,0.01071664095161427
2015-07-30,0.0027227538805013,7.454486073059361e-05,0.002789079563149702
2015-07-31,-0.0018718905954295331,7.454486073059361e-05,-0.0018055649127811314
2015-08-03,-0.0027347282828394,7.454486073059361e-05,-0.002668402600190998
2015-08-04,-0.002613949886831001,7.454486073059361e-05,-0.002547624204182599
2015-08-05,0.0084270677402587,7.454486073059361e-05,0.008493393422907102
2015-08-06,-0.0004525582486223337,7.454486073059361e-05,-0.00038623256597393186
2015-08-07,0.0011590546733694334,7.454486073059361e-05,0.001225380356017835
2015-08-10,0.0069419917538454,7.454486073059361e-05,0.007008317436493802
2015-08-11,-0.000928607074730066,7.454486073059361e-05,-0.0008622813920816641
2015-08-12,-0.0111719424861862,7.454486073059361e-05,-0.011105616803537798
2015-08-13,0.0007327890005447008,7.454486073059361e-05,0.0007991146831931026
2015-08-14,-0.010123328491596435,7.454486073059361e-05,-0.010057002808948032
2015-08-17,0.0021263769360518672,7.454486073059361e-05,0.0021927026187002693
2015-08-18,0.0045060734125946,7.454486073059361e-05,0.004572399095243002
2015-08-19,-0.0022582275008917003,7.454486073059361e-05,-0.002191901818243298
2015-08-20,-0.006852324955860167,7.454486073059361e-05,-0.006785999273211765
2015-08-21,-0.003167577875254392,7.454486073059361e-05,-0.00310125219260599
2015-08-24,-0.016977442329386867,7.454486073059361e-05,-0.016911116646738465
2015-08-25,-0.028113537107815965,7.454486073059361e-05,-0.028047211425167563
2015-08-26,0.004917363697460066,7.454486073059361e-05,0.0049836893801084685
2015-08-27,0.0090210819009122,7.454486073059361e-05,0.009087407583560601
2015-08-28,0.012912921214552533,7.454486073059361e-05,0.012979246897200935
2015-08-31,-0.0025584847047787664,7.454486073059361e-05,-0.0024921590221303642
2015-09-01,-0.004809893112885599,7.454486073059361e-05,-0.004743567430237197
2015-09-02,-0.012740681780659503,7.454486073059361e-05,-0.0126743560980111
2015-09-03,0.012469370836427067,7.454486073059361e-05,0.012535696519075469
2015-09-04,0.0021103403076712,7.454486073059361e-05,0.0021766659903196023
2015-09-07,-0.011329694698566567,7.454486073059361e-05,-0.011263369015918165
2015-09-08,0.0003396246328083003,7.454486073059361e-05,0.00040595031545670213
2015-09-09,0.011215863945718201,7.454486073059361e-05,0.011282189628366603
2015-09-10,-0.010264360308045967,7.454486073059361e-05,-0.010198034625397565
2015-09-11,0.005254285884353233,7.454486073059361e-05,0.005320611567001635
2015-09-14,-0.004905203874594101,7.454486073059361e-05,-0.0048388781919456985
